web-scraper-order,web-scraper-start-url,halaman_pencarian,judul,excerpt,author,link_pencarian,link_pencarian-href
"1700584791-15","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Perbandingan Algoritma Convolutional Neural Netwok dan Capsule Network Dalam Klasifikasi Jenis Rumah Adat","… Deep learning merupakan cabang ilmu dari kecerdasan buatan, khususnya dalam bidang 

… yaitu objek lain yang tidak diperlukan seperti objek orang hewan, batu kubur, dan lain-lain. …","YF Riti, Y Wahyuningsih, J Roosandriantini… - Teknika, 2023 - ejournal.ikado.ac.id","[PDF] ikado.ac.id","https://ejournal.ikado.ac.id/index.php/teknika/article/download/702/281"
"1700584791-16","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","IDENTIFIKASI PENYAKIT TANAMAN PADI BERDASARKAN TEKNIK PENGOLAHAN CITRA MENGGUNAKAN RULE BASED EXPERT SYSTEM","… yang tertarik dengan bidang kecerdasan buatan dan teknik pengolahan citra digital. … 

Contoh : aturan identifikasi hewan Rule 1 : IF hewan berambut dan menyusui THEN hewan …","A Wenda - repository.uin-suska.ac.id","[PDF] uin-suska.ac.id","http://repository.uin-suska.ac.id/69045/1/Buku%20Padi%20Lengkap_ok.pdf"
"1700584791-17","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Dokumen Peer Review Mei 2023","… Coronavirus ini dapat menyebabkan penyakit pada hewan … Adapun, hewan yang menjadi 

sumber penularan COVID-19 ini … kecerdasan buatan berbasis CT scan untuk meningkatkan …","IT SPWM - 2023 - repository.stikespantiwaluya.ac.id","[PDF] stikespantiwaluya.ac.id","https://repository.stikespantiwaluya.ac.id/id/eprint/258/51/2.%20Berkas%20Buku%20Ajar.pdf"
"1700584791-18","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Perancangan Aplikasi untuk Tes Diagnosis Gangguan Komunikasi (Afasia)","… kecerdasan buatan untuk menentukan jenis afasia yang diderita pasien. Hasil dari penelitian 

ini dapat disimpulkan bahwa dengan adanya sistem kecerdasan buatan … 5-9 nama hewan …","DS Wiratama, HD Purnomo - Jurnal JTIK (Jurnal Teknologi …, 2023 - journal.lembagakita.org","[PDF] lembagakita.org","http://www.journal.lembagakita.org/index.php/jtik/article/download/779/767"
"1700584791-19","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","DEVELOPMENT OF A SYSTEM FOR DIAGNOSING PESTS AND DISEASES IN CORN PLANTS BASED ON THE INTENSITY OF DAMAGE USING THE CERTAINTY …","… kurang nya informasi tentang gejala gejala yang ditemukan … pikir manusia, yakni teknologi 

kecerdasan buatan. atau AI atau … Hasil akurasi diagnosa akibat serangan hama dan penyakit …","RR Kusumahdinata, A Sudiarjo… - Antivirus: Jurnal …, 2023 - ejournal.unisbablitar.ac.id","[PDF] unisbablitar.ac.id","https://ejournal.unisbablitar.ac.id/index.php/antivirus/article/download/3066/1650"
"1700584791-20","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=90&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Klasifikasi Kematangan Buah Alpukat Mentega Menggunakan Metode K-Nearest Neighbor Berdasarkan Warna Kulit Buah","… Contoh aplikasi yang sering dijumpai adalah klasifikasi spesies hewan yang memiliki … 

diketahui kelas hewan tersebut. Contoh lain adalah cara mendiagnosis penyakit kulit kanker …","J Saputra, Y Sa'adati, VYP Ardhana… - … Teknik Informatika dan …, 2023 - djournals.com","[PDF] djournals.com","http://www.djournals.com/resolusi/article/download/763/511"
"1700584794-21","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Menelisik Sikap Pemerintah Indonesia Dalam Menghadapi Kelangkaan Alat Pelindung Diri Ditengah Wabah Pandemi Coronavirus Disease (Ditinjau Dari Undang …","… menyebabkan penyakit yang menimbulkan gejala … hewan liar seperti kelalawar serta 

menghindari kontak secara langsung dengan orang yang menunjukkan adanya gejala penyakit …","ME Gondokesumo, N Amir - Jurnal Hukum & Pembangunan …, 2023 - repository.ubaya.ac.id","[PDF] ubaya.ac.id","http://repository.ubaya.ac.id/45157/1/Marisca%20Evalina%20Gondokesumo_MENELISIK%20SIKAP%20PEMERINTAH%20INDONESIA.pdf"
"1700584794-22","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Sensor Nano: Mengembangkan jaringan sensor nano cerdas untuk menyalakan kimiawi otak, dan mendeteksi dini kanker","… Penggunaan nanosensor dalam pengobatan diagnostik memiliki banyak janji karena akan 

memungkinkan untuk mendeteksi penyakit pada tahap awal tanpa harus bergantung pada …","F Sabry - 2023 - books.google.com","Sensor Nano: Mengembangkan jaringan sensor nano cerdas untuk menyalakan kimiawi otak, dan mendeteksi dini kanker","https://books.google.com/books?hl=en&lr=&id=tt6sEAAAQBAJ&oi=fnd&pg=PT426&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=gjjWX5MAGp&sig=smf8uuLQP2HLFX-pofaKgHsC9e8"
"1700584794-23","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","PREDIKSI KANDIDAT SENYAWA HASIL ISOLASI DARI KULIT BATANG Sesbania grandiflora (L.) SEBAGAI ANTI-INFLAMMASI COVID-19 MENGGUNAKAN …","… kecerdasan buatan… penyakit saluran pernapasan pada hewan maupun manusia. Beberapa 

jenis dari coronavirus dapat menyebabkan infeksi pada saluran pernapasan dengan gejala …","MP Havier - 2023 - digilib.unila.ac.id","[PDF] unila.ac.id","http://digilib.unila.ac.id/76525/3/SKRIPSI%20TANPA%20BAB%20PEMBAHASAN.pdf"
"1700584794-24","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","TRANSFORMASI DIGITAL","… inovasi produk dan layanan Transformasi digital dapat membantu bisnis mengembangkan 

produk dan layanan baru dengan memanfaatkan teknologi baru seperti kecerdasan buatan (…","E Erwin, AW Pasaribu, NJA Novel, AR Thaha… - 2023 - books.google.com","TRANSFORMASI DIGITAL","https://books.google.com/books?hl=en&lr=&id=SXTCEAAAQBAJ&oi=fnd&pg=PA30&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=bZyRvTbBZJ&sig=VfDcyh_BTU_EbXCaSr5OF5wfFlI"
"1700584794-25","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Transformasi Digital","… inovasi produk dan layanan Transformasi digital dapat membantu bisnis mengembangkan 

produk dan layanan baru dengan memanfaatkan teknologi baru seperti kecerdasan buatan (…","MA Chatra P, AW Pasaribu, NJA Novel, AR Thaha… - 2023 - dspace.uc.ac.id","[PDF] uc.ac.id","https://dspace.uc.ac.id/bitstream/handle/123456789/6885/Plagiarism6885.pdf?sequence=5"
"1700584794-26","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Pedoman Bangunan Cerdas Nusantara","… bangunan dengan kecerdasan dan koneksi, mulai dari kecerdasan buatan dan machine … 

Perlindungan Bahaya Hewan adalah teknologi yang mampu mendeteksi kehadiran hewan …","OIK Nusantara - ikn.go.id","[PDF] ikn.go.id","https://www.ikn.go.id/storage/pedoman-bangunan-cerdas-nusantara.pdf"
"1700584794-27","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","TINJAUAN NARATIF MENGENAI TRANSFORMASI BISNIS MELALUI KOMPUTASI AWAN","… Tren masa depan seperti komputasi awan hibrida dan kecerdasan buatan dalam 

komputasi awan menunjukkan potensi inovasi yang lebih lanjut. Dengan pemahaman yang …","FY Sena - Jurnal Ilmu Data, 2023 - ilmudata.org","[PDF] ilmudata.org","http://ilmudata.org/index.php/ilmudata/article/download/314/300"
"1700584794-28","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Strategi Demonstrasi Guru Dalam Mengembangkan Kecerdasan Naturalis Anak Usia Dini di TA Al-Manaar Ngabar Siman Ponorogo","… kecerdasan naturalis, seperti berkebun, merawat hewan, … 4) Menyayangi hewan, dengan 

cara mempelihara hewan … makan hewan dan membuat tempat tinggal hewan tersebut. …","CA Fharadena - 2023 - etheses.iainponorogo.ac.id","[PDF] iainponorogo.ac.id","http://etheses.iainponorogo.ac.id/24729/1/STRATEGI%20DEMONSTRASI%20GURU%20DALAM%20MENGEMBANGKAN%20KECERDASAN%20NATURALIS%20ANAK%20USIA%20DINI%20DI%20TA%20AL-MANAAR%20AL-ISLAMIYAH%20NGABAR%20SIMAN%20PONOROGO-chyeneza%20205190044.pdf"
"1700584794-29","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","MACHINE LEARNING dengan R Teori & Praktikum","Machine Learning (ML) merupakan cabang ilmu di era Data Science dan Big Data yang 

akhir-akhir ini populer. Dengan segala manfaat yang diberikan oleh ML, banyak aspek dalam …","JA Nursiyono - 2023 - books.google.com","MACHINE LEARNING dengan R Teori & Praktikum","https://books.google.com/books?hl=en&lr=&id=4T-xEAAAQBAJ&oi=fnd&pg=PA79&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=khzUEIvjvw&sig=LRco5_QVN651lo1czaDwpDLWQhA"
"1700584794-30","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=130&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","… PUBLIKASI ETHESIS DENGAN TTD ASLI BUKAN SCAN, UPLOAD ULANG).. Strategi Demonstrasi Guru Dalam Mengembangkan Kecerdasan Naturalis Anak Usia …","… kecerdasan naturalis, seperti berkebun, merawat hewan, … 4) Menyayangi hewan, dengan 

cara mempelihara hewan … makan hewan dan membuat tempat tinggal hewan tersebut. …","C Fharadena - 2023 - etheses.iainponorogo.ac.id","[PDF] iainponorogo.ac.id","http://etheses.iainponorogo.ac.id/24479/1/STRATEGI%20DEMONSTRASI%20GURU%20DALAM%20MENGEMBANGKAN%20KECERDASAN%20NATURALIS%20ANAK%20USIA%20DINI%20205190044.pdf"
"1700584797-31","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=170&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","EFEKTIVITAS PEMANFAATAN APLIKASI NEARPOD UNTUK MENINGKATKAN KEBIASAAN BERPIKIR DALAM MEMPERTIMBANGKAN INFORMASI (INDIKATOR …","… Beberapa spesies lompat kutu ini juga dapat menjadi parasit pada manusia dan hewan 

peliharaan, menyebabkan masalah kesehatan yang serius seperti penyakit dan gatal-gatal. …","N ROHAYANI - 2023 - repository.unpas.ac.id","[PDF] unpas.ac.id","http://repository.unpas.ac.id/64953/5/10.%20BAB%20II.pdf"
"1700584797-32","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=170&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Epidemiologi Penyakit Tidak Menular","… penyakit dimana awalnya berpusat pada kaitan penyakit … sebagai dasar penentuan penyebab 

penyakit. Pembuktian ilmiah … penyakit ini umumnya ditularkan melalui perantara hewan (…","DD Anggraini, WV Wardani, T Siswati, E Setiyorini… - 2023 - books.google.com","Epidemiologi Penyakit Tidak Menular","https://books.google.com/books?hl=en&lr=&id=hru9EAAAQBAJ&oi=fnd&pg=PA277&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=DEZVO5PbmU&sig=N4fIaxnoqM05E2K5p3uoo4RpkXs"
"1700584797-33","https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&as_ylo=2023&as_yhi=2023&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&btnG=","https://scholar.google.com/scholar?start=170&q=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&hl=en&as_sdt=0,5&as_ylo=2023&as_yhi=2023","Pola Asuh Orang Tua dan Tumbuh Kembang Balita","… dengan tingkat perkembangan usia dan kecerdasan anak, dan akan … Gejala conduct 

disorder bisa bervariasi, termasuk perilaku-perilaku berikut; 1. Perilaku agresif terhadap hewan …","II Kusmawati, S ST, M Keb, NR Putri, S SiT - 2023 - books.google.com","Pola Asuh Orang Tua dan Tumbuh Kembang Balita","https://books.google.com/books?hl=en&lr=&id=K3LCEAAAQBAJ&oi=fnd&pg=PP1&dq=kecerdasan+buatan+untuk+deteksi+penyakit+hewan&ots=glctQAziml&sig=3OfMOmZIloCOSDEN4VrFi9ExxHE"
